id_avis,date,note_avis,commentaire,id_resto,nom_resto,type_cuisine,fourchette_prix,adresse,note_moyenne_resto,description,arrondissement,latitude,longitude,taux_menage_imposable,mediane_niveau_de_vie,taux_pauvrete,min_prix,max_prix
26,juil. 2021,3.0,dommage prix galette crêpe cher valoir qualité prix sinon cadre symper cœur centre commercial confluence,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
27,déc. 2021,2.0,crêpe nuteller arriver froid quantité copieux crêpe € passer chemin tellement endroit rapport qualité prix valoir déplacement concerner respect geste barrière certain personnel porter masqu sou nez voire sou bouche important donner exemple 😉,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
28,déc. 2021,5.0,ramener bougie anniversaire femme tout service mettre chanter cœur souhaiter joyeux anniversaire thé gourmand excellent mention spécial deux serveur accepter requête étoile,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
29,août 2021,4.0,crêpe bon ainsi cocktail dommage tarif élevé service sympathique rapide,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
30,oct. 2021,1.0,crêpe saler immangeable vaissell peine laver fromage insipide œuf cuit jambon bloc légume dur cuit non plus éviter absolument,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
31,août 2021,3.0,situer cœur centre commercial confluence possibilité mettre terrass intérieur centre commercial préférer intérieur crêperie comme faire très chaud climatisation centre commercial hyper bruyant goûter commander deux jus oranger frais deux crêpe sucrer lui correcter goûter personnel accueillir sympathique prendre chèqu vacance,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
32,août 2020,3.0,moyen crêpe sucrer bien alors salée terrible digérer trois fromage peine emmental trois rondelle chèvre bout mozza fondre bref goûter recommande reste non cerise gâteau faire valider ticket parking bizarrement celer marche donc payer bref vol,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
33,août 2020,5.0,tout simplement délicieux 🤤 très chaleureux top merci encore tout équipe améli crep bientôt,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
34,août 2020,4.0,prendre crêpe sucrer soir lui vraiment excellenter très bon accueil bon ambiance,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
35,juil. 2020,5.0,excellent galett bien garni recommander restaurer produit frer sentir 👍 🏼 👍 🏼,1,Crêperie Amélie,"Réservations, Places assises, Chaises hautes disponibles, Accessible en fauteuil roulant, Sert de l'alcool, Service de table",,112 Cours Charlemagne 69002 Lyon France,2.5,,69002,45.7406889,4.818801,66,28920,12,,
