,Date,Notes,Commentaires
36,juin 2023,"4,0","Franchement cela fais depuis longtemps que je désire goûter ce fameux restaurant. Je me suis tout simplement régaler !! Avec des nombreuses découvertes. Le personnel est top, le seul défaut est le prix qui est bien trop élevé.."
37,mai 2023,"1,0","Quelle déception!
Je m'attendais à une expérience intéressante, à la place j'ai eu un repas fadasse a un prix exorbitant !
Etant un amateur de viande, je suis allé au Gueuleton avec l'espoir d'un bon repas.
En retour, j'ai eu des légumes froids, un choix limité de vin au verre, une viande sans intérêt gustatif (Tbone Montbéliarde) malgré un prix élevé (130 euros).
Cerise sur le gâteau, ma maman et moi n'ayant pas la même cuisson, afin de manger ma viande saignante mais chaude, j'ai dû manger pendant que sa viande allait en cuisson. Pendant ce temps, ma mère me regardait manger, puis quand sa viande est arrivée, nous avons échanger nos rôles.
Je ne vous parle pas du bruit qui nous empêchait de nous entendre alors que nous étions l'un en face de l'autre.
 
En résumé, si vous aimez manger froid, cher, avec un choix limité et dans le bruit, alors le Gueuleton est pour vous."
38,mai 2023,"3,0","Très bonne viande 
Accueil agréable et sympathique 
Mauvais rapport qualité prix 
Trop cher
90 euros pour cocktail, côte de bœuf et dessert"
39,mai 2023,"4,0","un"" haut lieu""  pour les amateurs de viande qui est très bien présentée d'ailleurs , mais quand je demande ( je précise je suis un cassssse- pied ) quelle est la durée d'élevage pour le boeuf que nous avons choisi ; la réponse 12 mois comme la viande avec le label rouge que on trouve en grande surface ! Cela me dérange alors que le mieux est entre 24 à 30 mois d'élevage en prairie pour l'engraissement . Bon hormis cela notre viande TIP TOP ainsi que les accompagnements , mais le prix du vin , je trouve pour un Beaujolais tres cher même pour un Fleurie 55 Euros.    "
40,avr. 2023,"5,0","Nous avons testé Le Comptoir Gueuleton aux Halles // Adresse parfaite pour un déjeuner aux Halles. Pensez à réserver ou à venir plus tôt, car le week-end ils font vite le plein. Et c’est mérité ! C’est bon, fait maison et gourmand. Tout ce que l’on attends d’une cuisine bistrotière sans être ringarde. Les saveurs lyonnaises sont là et bien préparées. Et en prime un service efficace et sympathique."
41,avr. 2023,"3,0","Bonne expérience lieu convivial et chaleureux.
Le tarif est trop élevé (équivalent à un restaurant 1 étoile).
Malgré la qualité des viandes, le prix ne se justifie pas."
42,avr. 2023,"5,0","La devanture est simple mais qui laisse voir de belles et bonnes choses. La décoration est dans la lignée de l’esprit du lieu… simple et efficace. L’accueil est respectueux, chaleureux avec des explications claires. Le choix des vins est garanti par un jeune sommelier mais qui connaît parfaitement son sujet mais sans jamais en rajouter (bravo Gabriel !). Quant aux conseils des mets, ils sont très avisés et experts. Arrive le moment tant attendu des services … et là, c’est l’apothéose. Tout ce qui avait été annoncé est au-delà de nos espérances. Côté entrées… pâté en croûte, os à moelles, rillettes et jambon noir de Bigorre exaltent les papilles. Puis vient le moment de l’extase grâce à 2 côtes de bœuf…Croisée (Saône & Loire) et KOD (Danemark). Rarement nous avons eut cette sensation suprême de plaisirs gourmands. Le vin accompagnant ces excellents mets étant en parfait adéquation… il n’en fût que meilleur. Quant aux tarifs, ils sont corrects lorsque l’on regarde la quantité et surtout la Qualité ! Bref, vous l’aurez compris… on pourrait écrire une multitude de choses positives. Une seule pour résumer : excellentissime …"
43,avr. 2023,"5,0",Lieux typique une serveuse très souriante et le repas rien a redire des mets dans la tradition lyonnaise 
44,avr. 2023,"5,0","Un super moment, l'accueil ainsi que le service est super, de bons conseils et personnel très agréable. Le repas était un plaisir du début à la fin l'expérience vaut le détour 😁"
45,mars 2023,"2,0","150€Kg la côte de boeuf... 35€ chez mon boucher. Si vous en avez déjà grillé au BBQ, on sait qu'ils ont trouvé des bons pigeons bobo Lyonnais. Excellent marketing, mais personnellement je ne reviendrai jamais :-) "
46,févr. 2023,"5,0","C’est bon !!!!!! On est venus 2 fois et on reviendra ! La qualité est présentes sur tout ce que j’ai goûté et on a déjà goûté pratiquement tout ! 

Seul petit hic, la carte des vins sur téléphone, ce n’est pas agréable à lire et le support n’est pas le bon, autant pour la carte et le menu oui mais c’est tellement plus agréable de lire une vraie carte des vins, surtout pour la qualité des bouteilles proposées."
