,Date,Notes,Commentaires
66,déc. 2021,"3,0","La cuisine est bonne, le cadre et agréable. Mais alors le service et à revoir. Le restaurant et très grand cependant les serveurs se comporte comme s’il devait vous expédier du restaurant. 

À peine installé le serveur nous demande 30sec après si nous avions choisi, nous lui répondons que non, il revient 30 sec plus tard. Une fois les plats servis, j’ai à peine poser mes couverts afin de saucer mon plats que se derniers n’était déjà plus devant moi. Le serveur nous avais déjà débarrassé avant même que nous prenions le temps de finir tranquille. Un conseil ne vous avisé pas à lâcher vos couverts si vous n’avais pas encore terminé. Lors du repas deux serveurs différents sont venus nous demander si tout se passer bien, alors que vous avions à peine pris une première bouché. Après vous avoir débarrassé assez prématurément. Le serveur et directement venue avec son TPE afin de régler. 
Heureusement qu’il n’y avais pas foule à ce moment là. Je n’ose même pas imaginer ce que cela donne lorsque la salle et pleine."
67,déc. 2021,"5,0","Je suis venues 2 fois et je n'ai pas été déçue. La 1ere fois, j'ai pris le burger fabrik, excellent, le fondant très bien. La seconde fois, j'ai pris une entrecôte, idem la viande fondante, par contre la glace mont Blanc un peu déçu.
Ils ont un excellent vin ""gourmandi"" très très bon.
Je recommande."
68,oct. 2021,"5,0","En plat un savoureux Burger Mexicain(pain burger, poulet crispy, cheddar, guacamole épicé doucement, nachos, iceberg et oignons rouge ) et une très bonne purée patates douces aux épices 
La pizza reine était bonne et le magret de canard était bien cuit et délicieux. L'ensemble était si copieux que nous avons choisi de ne pas prendre de dessert. Le vin rouge mercurey et le vin blanc chablis étaient bons . Le Virgin Wood boisson parfumée et bien glacée sans alcool. Encore merci au serveur ""Papi"" et ses collègues pour leur efficacité et amabilité. Le service était rapide et impeccable."
69,oct. 2021,"5,0","Avec ce contexte particulièrement difficile ces derniers mois, j'avais plutôt privilégié la carte des plats en emporter (surtout les pizzas qui sont toujours aussi excellentes).
Quel bonheur de retrouver l'équipe de La Fabrik  Lyon 8, accueil téléphonique et physique professionnel et très agréable, service impeccable (efficacité, rapidité) menu du jour très bon (loup de mer sauce citronnée et lasagne de légumes).
Je recommande cet établissement en couple, en famille ou amis pour l'ambiance aussi."
70,sept. 2021,"4,0","Concept sympathique, ambiance décontractée et jeune avec parfois des artistes live et des écrans pour regarder les matchs. Très bon accueil, serveuse très agréable et dynamique, prix accessibles.
Du classique sur la carte avec pas mal de choix dont les incontournables burger assez bien garnis et des pizzas.
Un bon point de chute pour se retrouver tranquillement entre amis."
71,août 2021,"5,0","INCROYABLE!!!
Serveur très gentil et serviable, plat très bien fait et très bon
Je recommande de vive voix ce restaurant !!! "
72,mai 2021,"5,0","l' accueil est sympa et avec de l'humour
du choix dans les plats proposés
service impeccable et rapide
mets très bon"
73,juil. 2021,"3,0",J'ai pris un Hugo Spritz qui etait delicieux mais en petite quantité (16 cl soit l'équivalent d'un verre de vin..)  Du coup je trouve que c'est horriblement cher..
74,mai 2021,"3,0","L’ambiance est super sympa, on y mange assez bien par contre au niveau du service c’était long et le serveur avait l’air dans les nuages  (ex ne pas débarrasser les verres de l’apéro terminé, oublier d’apporter des verres pour l’eau etc)"
75,juin 2021,"2,0",Tout est dit dans le titre. À chaque plat sa rupture d’ingrédient. Chaque plat est à peu près le plat annoncé (chantilly sans sucre….)
76,mai 2021,"1,0","Nourriture pas terrible,  bière inbuvable , à déconseille,  restauration  bas de gamme,  je déconseille.  A oublié"
77,mai 2021,"5,0","Première fois que je vais dans ce restaurant et je recommande chaleureusement. Lieu  attrayant et propre avec de la bonne musique, respect des mesures sanitaires on se sent en sécurité. ""Papi"" le serveur était chaleureux, de bons conseils et pro. La pizza Poulet César était délicieuse, le burger de mon amie et les desserts  étaient très bons."
78,oct. 2020,"5,0","J'ai organisé un déjeuner avec des amis qui ne connaissaient pas le restaurant (moi habitant sur Lyon j'ai l'occasion de m'y rendre avec des amis en semaine ou en famille le dimanche midi) et parfois je commande des pizzas à emporter que je trouve excellentes.  Mes amis ont tous été ravis de l'accueil très chaleureux, de l'efficacité et disponibilité des serveurs ainsi que de la qualité des plats choisis (plats du jour, Fish and Chips et steak tartare). Tout était excellent 
Je recommande vivement cet établissement, mes amis reviendront c'est sur et surtout NE CHANGEZ RIEN 👍"
79,oct. 2020,"4,0","Super accueil et cadre sympa le rapport qualité prix est très bon.
Il est possible de commander ils livrent à domicile ! "
80,sept. 2020,"5,0","Ce restaurant vous offre un cadre convivial à venir entre amis ou en famille ! Un service rapide et à la hauteur de notre demande. Sans compter le grand serveur très souriant (au top du top et je n’abuse pas), de très bons conseils vis-à-vis des cocktails qui sont également très bon ; mais des plats très soigneusement préparé et avec rapidité."
81,sept. 2020,"4,0","Bel endroit, bien espacé. Brasserie sympa les plats du jour sont bons. Le service est impeccable. Impeccable pour déjeuner rapidement 👍🏻"
82,sept. 2020,"4,0","Ambiance super, grand espace, belle décoration, belle hauteur sous plafond. Petite terrasse couverte avec table haute. Le soir c'est à la carte. Le porc espagnol est excellent  dune tendreté parfaite. Les frites son sans plus. Le fish and ship bon comme en angleterre. L'entrée à partager brochette news samoussas ( 3 de chasue) est une bonne surprise. Le gaspatcho de concombre original. En dessert bonne brioche façon pain perdu. Réservation simple par le site web. Consignes covid respectées "
83,août 2020,"3,0","Attente légèrement longue pour avoir le plat.
Le ay ne paie pas de mine mais en revanche était très bon.
Ce qui me dérange un peu ce sont les prix absolument pas justifié !!! "
84,août 2020,"5,0","Déjeuner du dimanche en famille. Repas excellent, cadre très agréable et accueil/service impeccable! Je recommande fortement."
85,juil. 2020,"4,0","Accueil plaisant.
Service agréable et plats appétissants.
Habitués, nous ne sommes jamais déçus. Très bien."
86,févr. 2020,"4,0","Une soirée bien sympa avec des collègues de boulot ; des planches et pizzas à partager, de la bonne musique. Rien à redire, tout est là pour passer un bon moment."
87,juin 2020,"4,0","Etablissement accueillant , malgré l'affluence du Midi , serveurs agréables et disponibles . Service relativement rapide , avec des plats servis chauds et copieux. Une brasserie à recommander pour passer un agréable moment avec des collègues ou en famille ."
88,juin 2020,"3,0","Bonne adresse, la carte de vin est relativement bien fournie, le personnel est sympa. Le menu mériterait d'être un peu plus étayé mais sinon vous passerez une bonne soirée."
89,févr. 2020,"2,0","Venu sur les coups de 13h30, le temps d’attente pour les plats furent très long ;
Nous avons mangé froid étant donné le temps d’attente...  viande froide, frites sèches,
trop cher pour un repas de cantine, et de plus une fois en caisse, recevoir un accueil froid et hautin. 
Nous en gardons un mauvais souvenir .."
90,févr. 2020,"2,0","acceuili par le responsable du restaurant qui visiblement n'avais pas tres envie de travailler, un peu hautain et desagreable ! commande prise par le serveur tres agreable :) et souriant. filet de saumon pas cuit et fade la garniture legumes fade et sans gout . A flunch c mieux , salade lyonnaise minuscule ; par contre les prix sont pas minuscule tres cheres pour la qualité proposer. dommage belle decoration de la salle mais gacher par le responsable de l établissement qui aurais bien besoin d'une formation de savoir recevoir !!! cuisnie sans intérêts nous ne reviendrons pas c certain ."
91,févr. 2020,"2,0","On s’attend à une cuisine raffinée. C’est tout le contraire que nous avons expérimenté, et la déception est grande. Le dressage est grossier, les plats sont sans saveur. 
Tout cela ne vaut pas le prix payé, qui est quand même élevé pour le plat fade qu’on a mangé !
Première fois, dernière fois.
Bref une vraie déception "
92,févr. 2020,"1,0",Déjeuner à la fabryk jeudi midi repas plat jour juste pas bon  ! Burger froid ! :/   ! Attente très très long accueil inexistant dommage ! Je reviendrais pas !!
93,févr. 2020,"2,0","Fortement déçue, un accueil inexistant, la salle qui nous était réservée n'était pas prête à notre arrivée.... On nous dit que nous auront des chaises hautes pour les enfants... On les attend encore.... Le serveur fait tomber un verre, ne ramasse pas les débris... Service très très long, repas passable... Je ne recommande pas"
