,Date,Notes,Commentaires
42,juil. 2020,"5,0","Dès l’entrée nous souhaitions un endroit simple pour manger sans se prendre la tête et pour se faire c’est l’adresse idéal.
A l’arrivée la terrasse était bondée, une fois qu’une place s’est vu se libérée, les serveurs nous ont très vite trouvé une solution pour manger à l’extérieur, le service a été rapide, agréable, les serveurs et serveuses sont à l’écoute et fort sympathiques.
Les plats sont adaptés selon l’envie salade, burgers, bagels, ou viande ! Tout y es et en très bonne quantités ! 
Pour conclure, équipe formidable ventre rempli ! 

Eva & Paul."
43,juil. 2020,"5,0",J'ai trouvé l'accueil particulièrement agréable au sein de ce bar/restaurant. Je recommande cet endroit ;).
44,oct. 2019,"2,0","Les plats servit sont bon mais un peu cher pour certains qui ne mérite pas autant comme les burgers surtout 18 ou 19 euros pour un burger simple et basique. 15 suffirait amplement au vu de ce qui les composent. Le service laisse à désirer avec un tutoiement très désagréable alors qu'il s'agissait de la première.

J'ai vraiment été déçu."
45,juin 2020,"5,0","Commandé sur Deliveroo. Les produits et les recettes sont top, les quantités sont généreuses. Je recommande vraiment ! "
46,juin 2020,"5,0","6 ans quasiment jour pour jour que je fréquente presque chaque semaine les Kaffee Berlin... Sans Souci bien sûr, mais aussi Les Brotteaux.
Qualité, Convivialité et Générosité. Des équipes et des gérants au top !
Des soirées inoubliables avec les potes, et des brunchs en famille le dimanche midi : que de bons souvenirs !
Vivement le prochain Kreuzberg et la petite Augustiner !

Je poste rarement mon avis (surtout quand il est positif d'ailleurs...) 
Mais les derniers commentaires dégradants et injustifiés  postés par des polémistes du net qui n’ont jamais mis les pieds dans un KB m'ont plus que jamais motivés à soutenir cet établissement que j'apprécie particulièrement."
47,juin 2020,"5,0","Nous adorons aller au Kaffee Berlin, parce que les bières sont excellentes, le personnel est à l’écoute même lorsque c’est le feu. Et on adore le Currywurst ça me rappelle mes virées à Berlin!"
48,juin 2020,"1,0","Plus jamais je ne serai client de Kaffee Berlin Croix-Rousse (Lyon 4) et autres sites (puisque même gérant), ou quand cet endroit (ou plutôt son gérant) rime avec absence d'humanité et indécence.
Je déjeunais ce midi sur leur terrasse, avec plaisir suite post fermeture des restaurants, une dame s'installe à une table à côté et n'ose pas commander, demande juste une boisson, les serveuses (professionnelles et humaines, bienveillantes, elles !) lui expliquent pour l'instant que ce n'est pas possible car les tables sont réservées pour les clients qui consomment.
Cette dame, calme, qui ne dérange personne, présente toutes les caractéristiques d'une personne en grande difficulté économique, pour autant on sent qu'elle tente de le dissimuler et prend soin d'elle, autant qu'elle le peut.
Discrètement, je dis aux serveuses de lui proposer un déjeuner que je lui offre et leur demande d'être discrètes, en premier auprès de cette dame. 
Les serveuses acceptent, vont voir la dame pour lui dire que quelqu'un lui offre son repas, et partent en salle...pour revenir quelques instants plus tard pour me dire que le gérant interdit cela. Incompréhension, je suis client, je paye et je suis discret, tout autant que cette dame âgée qui est dans le besoin. J'invite les serveuses à expliquer la situation au gérant. Gérant qui arrive quelques secondes plus tard pour me dire tout fort (afin que tous entende) qu'il est gérant, qu'il n'accepte pas que cette dame déjeune, et que je ne connaîtrai pas le passé de cette dame.... La dame est à 1 m et ce gérant parle fort, ou comment se ridiculiser lui même, se déshumaniser, montrer toute sa vacuité.
Je lui explique que je veux juste payer le repas de cette dame silencieuse et j'invite le gérant à ne pas embarrasser cette dame, mais il poursuit et me dit tout aussi fort qu'il est chez lui et qu'il gère son établissement comme il l'entend. On échange 2 ou 3 ""amabilités polies"" et j'essaye de l'inviter à reconsidérer sa position. ""Je suis chez moi, faîtes ce que vous voulez chez vous"", """"je vous offre même votre déjeuner"", blablabla... Je paye mon déjeuner, je lui dis que ne reviendrai plus chez lui (ou alors il faudra que ce café change de gérant, je me dis intérieurement), que je le ferai savoir (c'est la 1° fois de ma vie que je dénonce publiquement un restaurant...ou plutôt ici le comportement d'un individu !).
Décidément, nous n'avons pas les mêmes valeurs et je plains l'équipe qui va travailler avec ce ""gugus"".
Je pars et laisse cette dame qui n'a peut-être pas grand chose dans le ventre depuis longtemps... Mon dej passe mal....et une envie de ""gerber"" du kafee berlin...."
49,mai 2020,"5,0","Nous avons commandé deux menus en livraison Deliveroo, et tout était parfait !! 
Les frites sont maison, tous les ingrédients des burgers sont frais, et les quantités sont plus que suffisantes. 
Rien à redire, c'est super bon!! "
50,janv. 2020,"4,0","Bon concept.
Des bagels, des burgers (miam), des salades et une carte grill.
Pas mal de choix, qui donnent envie.
Et pas mal de bières mais pas testées."
51,févr. 2020,"5,0","Nous n'avons pas réservé un soir de forte affluence, nous avons été très bien accueillis. Nous remercions l'équipe de ce restaurant d'avoir pu nous placer.
Bonne ambiance, repas à la hauteur de ce que nous attendions. 
Nous étions en famille dont 4 enfants. J'aurai aimé une musique plus allemande...pour plus de dépaysement!"
52,févr. 2020,"4,0","Déjeuner rapide en sortant d'un avion.
Ambiance  jeune et  sympa, musique pas trop forte
Service rapide efficace et aimable 
Burguer et frites excellentes  ( viande  + st Marcellin ...)
Très bonnes bières allemandes
Bref , très bonne découverte"
53,févr. 2020,"4,0","Nous n'avions que peu de temps pour déjeuner donc nous sommes arrivés pour 11h30.
Un bon burger kentucky, de bons ribs de porc, de bonnes potatoes, de bons desserts : voilà le résumé !!
L'accueil est sympa, l'équipe est jeune. Par contre, dès 12h, la musique augmente et la foule arrive donc le bruit est un peu désagréable."
54,janv. 2020,"5,0","Très bonne ambiance, service top, burger excellent que ça soit en livraison ou directement au restaurant.
Lieu parfait pour un moment de détente entre amis  "
55,janv. 2020,"3,0","Une belle découverte, l’ambiance est sympathique et le service agréable.
Les salades sont bonnes, même si je trouve qu’elles restent peu garnies, mais à un tarif raisonnable.
Mention spéciale pour le Cheesecake !"
56,déc. 2019,"5,0","Service rapide. Burgers et bagels de très bonne qualité. J'ai eu du mal à terminer le mieux.
Moins cher et bien mieux que le Mac Do ! 
Bonne découverte, nous y retournerons 🙂"
57,déc. 2019,"4,0",En totale adéquation avec leur charte de bons produits. Un service rapide et efficace ; des bonnes bières ; des burgers copieux mais je vous conseille la planche de dégustation de saucisses.
58,déc. 2019,"4,0","Premiere fois au kaffe berlin et belle decouverte, les plats sont copieux, les burgers et bagels un regal pour un prix tout a fait correct..
Nous y reviendrons avec plaisir "
59,déc. 2019,"2,0","Commande d'un burger passée via Deliveroo, sur conseils d'amis. Très déçue du burger ! Certes, c'est copieux, mais pour le prix et la réputation, je m'attendais quand même à un peu que du Mcdo : viande sèche et absolument sans saveur, jambon cru ""forêt noire"" de chez Liddle, mini morceau de roblochon encore pire, et ne parlons même pas de la sauce fromage blanc juste inexistante dans le burger. Vous déconnez sérieusement les gars. Il n'y aura pas de prochaine fois !"
60,nov. 2019,"4,0","Je vais de temps en temps manger ici et je je suis jamais déçue! Cette fois c’était burger végétarien (la galette était très gourmande) avec potatoes. Je recommande leurs bières!! (Benedikter)
Petit bemol la porte restait ouverte pour le service dehors mais il ne faisait pas si froid. Le soir c’est ambiance jeune avec pas mal de musique donc pas recommandé pour un dîner au calme."
61,nov. 2019,"4,0","Très bonne surprise, bon accueil, très bon conseil de la part du serveur, burger et service au Top !"
