,Date,Notes,Commentaires
39,févr. 2023,"5,0","Sans contestation le meilleur rapport qualité prix à Lyon ! Les mets d’un étoilé avec le prix d’un bistronomique ! Que dire de cette expérience culinaire, c’était divin de À à Z ! Des associations osées et délicieuses, un service aux petits soins , tout est gourmet , une déco simple et épurée , la perfection .
Tous les avis élogieux sont amplement mérités ! 3 mois d’attente pour la résa et c’est pas pour rien ! Bravo"
40,févr. 2023,"5,0","C’est avec beaucoup d’envie que nous sommes allés en couple manger chez Agastache tant les critiques sont élogieuses.
Nous avons été ravis.
Nous avons opté pour le menu avec 5 plats pour un prix de 30 euros, ce qui est certainement le meilleur rapport qualité prix sur Lyon.
En entrée, un oignon mêlé de Saint Nectare et d’herbes, en intermède végétal (en plus du menu à 3 plats), un mélange chaud et glacé de cerfeuil délicieux, en plat principal, du veau rouge avec du haricot coco et du romarin, un pré dessert et un dessert à base de chocolat, livèche et caramel.
Comme on le voit, le végétal est très présent dans cette cuisine très inventive.
Le service est parfait.
La salle ne fait que 25 couverts avec seulement 2 personnes officiant : Benjamin en cuisine et Mathieu au service.
Tous les deux sont 2 jeunes garçons pleins d’avenir et nous leur souhaitons de continuer avec la même simplicité, ingéniosité et grâce."
41,févr. 2023,"5,0",encore un établissement découvert grâce à la sélection bib gourmands.....grâce à un désistement nous avons eu de la place.....ce que je n'espérais pas car toujours complet.....nous étions 2 amies ....toutes deux enchantées ......de la finesse......de la recherche et un rapport qualité/prix  TOP!  MERCI!!
42,févr. 2023,"5,0","Jolie salle de 25 couverts environ, aussi réservation obligatoire bien à l’avance.
Accueil et service avec une véritable chaleur humaine. Mathieu en salle d’une grande gentillesse. Benjamin en cuisine nous ravit les papilles. Saveurs riches, subtiles, d’une association parfaite. 
Nous avons passé un excellent moment gastronomique et pour un rapport qualité/prix surprenant à ce niveau culinaire (25€). Notons que le menu change tous les lundis.
Vraiment que des éloges à formuler."
43,janv. 2023,"5,0",Nous avons l'habitude d'aller dans ce restaurant mais il faut réserver à l'avance car sinon c'est complet. D'habitude c'est excellent mais là c'était sublime. Des saveurs qui sortent de l'ordinaire et toujours beaucoup d'invention. Des sorbets étonnants... Je conseille de prendre le menu Agastache afin de savourer la dégustation avant le plat principal et de profiter du pré-dessert.
44,janv. 2023,"5,0","Le chef vous ravivera les papilles 
Réservation bien à l n’avance car les places sont dure  à avoir 
Merci au chef pour ses saveurs 
Chaud froid glace surprenant….
Enfin faite vous votre idée il faut découvrir."
45,janv. 2023,"5,0","Un repas gastronomique servi avec un grand sourire pour un prix raisonnable, tout était très bien pour une soirée en amoureux :)"
46,janv. 2023,"5,0","Gourmés nous aimons mon mari et moi nous offrir des restaurants étoilés .... 
et bien si Agastache n'a pas d'étoile, ce restaurant n'a rien à envier à ses camarades ! et avec un rapport qualité prix bluffant !!

BRAVO c'est délicieux, quel talent Benjamin ! d'un produit que l'on n'apprécie pas trop en temps normal, vous arrivez à en faire un met délicieux ! 
et Mathieu au service est adorable, efficace, et toujours avec le sourire !

Une superbe expérience gustative ! MERCI !"
47,déc. 2022,"5,0","Excellentissime.
Repas mémorable en 10 étapes.
Quel talent.
Vins judicieusement choisis.
A faire et refaire."
48,oct. 2022,"5,0","Une cuisine excellente accompagnée par un très bon service, la recette d'un grand restaurant. Je recommande fortement."
49,déc. 2022,"5,0","Quelle belle surprise. Accueil très sympathique, la carte est limitée mais c'est bien cuisiné, bien présenté et les saveurs sont subtiles. Les prix sont très raisonnables.
Seule problème il faut réserver au moins 1 mois à l'avance. C'est la rançon du succès."
50,nov. 2022,"5,0",Un excellent moment plein de saveurs et d’originalité en plus d’un service au top je recommande fortement 👍et les prix sont vraiment corrects
51,nov. 2022,"5,0","Une carte simplissime…a l’inverse des plats qui sont fantastiques de saveurs, une présentation travaillée et un service efficace. Chaque plat est une découverte, laissez vous guider sans à priori!"
52,nov. 2022,"5,0","A la lecture du menu pas emballé mais quelle surprise dans l’assiette 
Tout est très bon et droit en cuisine 
Assez moderne avec pleins d’intentions pré entrée pré dessert ... le tout excellent 
Un beau moment je recommande"
53,oct. 2022,"5,0","Voilà un restaurant qui vaut vraiment le détour. Le chef est très créatif, avec des plats dignes d'un étoilé, le service est rapide efficace, et donne de très bons conseils au niveau des vins.
Merci pour ce moment."
54,sept. 2022,"5,0","Nous nous rendons régulièrement dans ce restaurant depuis son ouverture et nous ne sommes jamais déçus. Le jeune chef prépare des plats excellents, le service est particulièrement sympathique et le rapport qualité/prix tout simplement exceptionnel ! Peu de choix mais une cuisine créative autour de très bons produits. Réservez à l'avance car nous ne sommes pas les seuls à avoir découvert cette perle. Le bouche à oreille fait son effet."
55,oct. 2022,"5,0","Excellent repas, personnel très agréable et souriant, rapport qualité prix très correct ! Très contente d'avoir découvert cette adresse"
